1,2,3,4,5,6,USBN,UNBK
89.5,82.02,87.25,87.35,88.44,87.35,92.5,82
88.75,90,86.79,88.92,89.82,88.92,92.75,84
84.25,84.97,83.67,85.11,85.08,85.11,93.25,80
87,87.54,83,84.75,86.58,84.75,92.5,82
89.5,86.63,87.79,87.58,89.35,87.58,92.75,86
87,82,91.15,88.33,87.79,88.33,94.5,88
91,92.79,89.25,89.77,86.26,89.77,92,92
87.75,86.88,87,90.92,89.67,90.92,92.5,86
92.25,93.04,85,88.58,88.04,88.58,96.25,70
86.5,88.75,88.46,89.33,88.67,89.33,91.5,84
86.5,91.94,90.85,89.81,92.67,89.81,90.5,88
90,91.13,88.33,89.5,90.61,89.5,93.75,84
88.5,90.19,87.44,88.6,91.53,88.6,92.5,92
88.75,88.33,88.25,89,91.54,89,91.25,84
82,83.54,85.69,87.38,89.9,87.38,91.75,96
84.5,88.88,83.31,86.63,85.03,86.63,91.5,82
89.5,94.5,88.38,89.42,87.13,89.42,91.75,86
91,94.94,87.21,89.21,94.17,89.21,93.5,88
89.5,92.44,86.88,87.35,87.13,87.35,94.5,88
90,89.44,88.56,89.17,89.79,89.17,92.25,88
93,93.82,89.69,93.21,91.19,93.21,92.75,94
85,86.42,86.13,86,86,86,92,76
92.25,92.11,89.75,94.25,92.67,94.25,93.5,90
85.75,84.79,90.13,92.79,92.17,92.79,95.25,88
83.25,89.23,84.44,87.58,90.39,87.58,92.25,88
90.25,90.83,86.54,87.13,90.61,87.13,91.75,92
88.25,92.29,90.94,92.71,92,92.71,93,94
82,83,82.75,86.8,90.33,86.8,91,84
87,87.56,88.08,87.83,92,87.83,91,84
90.25,92.27,88.5,90.96,92.17,90.96,91.5,86
86.5,89.31,83.5,91.42,92.44,91.42,94.5,84
85.75,91.85,88.94,92.63,92.17,92.63,92.75,84
95.5,96.38,90.13,91.38,92.72,91.38,93,84
83.25,83.31,83.94,85.92,89.67,85.92,92.5,84
83.25,86.78,86.69,86.88,92.6,86.88,93.75,84
88,90.08,86.04,89.17,90.61,89.17,91.75,88
86.5,92.29,86.38,88.46,91.67,88.46,88.75,84
86.25,86.1,88.31,92.04,91.36,92.04,92.25,90
83.5,87.38,89.25,89.54,89.94,89.54,93.5,86
83.25,83.47,81.75,84.75,88.72,84.75,92.5,78
90,91.13,82.46,87.82,88.44,87.82,89.5,88
88.75,89.5,81.04,86.08,89.17,86.08,91,76
89,89.04,5.67,88.67,91.61,88.67,92.5,84
87,92.04,84.75,85.67,88,85.67,93.5,82
83.25,84.41,83.44,84.9,89.86,84.9,92,80
86,86.33,93.33,88.08,91.92,88.08,92.75,90
85.5,89,85.21,87.75,89.33,87.75,90,78
88.25,89.24,91.81,91.83,92.67,91.83,94.75,90
85.75,90.19,86.28,85.54,93.47,85.54,95,82
84.28,89.93,86.13,90,91.92,90,91.75,86
89,89.83,91.56,92.63,92.17,92.63,95,84
91,92.29,88.44,87.38,91.89,87.38,94.5,96
85.75,88.38,81.54,88.63,90.33,88.63,91.75,82
90.5,89.49,88.19,90.46,92.19,90.46,92.5,90
91.75,89.33,85.67,88.33,91.25,88.33,93.5,86
84.75,84.92,83.67,91.61,92.5,91.61,91.75,92
81.75,82.75,87.25,89.25,91.36,89.25,96.75,82
88,91.84,87.94,91.79,89.97,91.79,95.25,90
80.75,83.38,82.96,83.13,89.72,83.13,96.5,90
89.5,90.71,85.19,86.4,92.56,86.4,97.25,82
90,89.38,88.5,91.5,92.25,91.5,96.5,84
87.75,95.63,88.81,89.21,91.75,89.21,97.25,94
